MODULE,Error Code (DECIMAL),NAME,DESCRIPTION,SEVERITY
BMS Master,1,CAN2_TEMP_HIGH,"PCB Cells thermistor reached 48 C. Data: module 1-7, thermistor 1-9, raw count",WARNING
BMS Master,2,CAN2_TEMP_EXTREME,"PCB Cells thermistor reached 52 C. Data: module 1-7, thermistor 1-9, raw count",ERROR
BMS Master,3,CAN2_MODULE_SILENT,PCB Cells module stopped sending thermistor frames,ERROR
BMS Master,4,JK_COMMS_TIMEOUT,No valid response from JK BMS,ERROR
BMS Master,5,JK_FRAME_INVALID,JK BMS frame failed validation,WARNING
BMS Master,6,PACK_VOLT_RANGE,JK pack voltage outside 63-87 V,ERROR
BMS Master,7,PACK_CURRENT_HIGH,JK pack current at or above 350 A in either direction,ERROR
BMS Master,8,TEMP_SENSOR_FAULT,On-board thermistor open or shorted,ERROR
BMS Master,9,CAN1_TX_FAIL,CAN1 frame could not be transmitted,WARNING
BMS Master,10,FATAL_INIT,"Peripheral initialisation failed, node halted",ERROR
BMS Master,11,ADC_STALLED,ADC conversion stream stopped,ERROR
BMS Master,12,CAN2_THERM_SATURATED,"PCB Cells thermistor open or shorted. Data: module 1-7, thermistor 1-9, end (0 = open, ThermTemp reads 0.00 C, code 12 alone; 1 = shorted, ThermTemp reads 100.00 C and also raises code 2), count of saturated sensors",WARNING
